"","State","Year","month","checks"
"358","Arizona",2019,"Apr",30222
"359","Arizona",2019,"May",28950
"360","Arizona",2019,"Jun",26746
"361","Arizona",2019,"Jul",26325
"362","Arizona",2019,"Aug",33851
"363","Arizona",2019,"Sep",29307
"364","Arizona",2019,"Oct",28833
"365","Arizona",2019,"Nov",31352
"366","Arizona",2019,"Dec",38171
"367","Arkansas",2019,"Jan",17258
"368","Arkansas",2019,"Feb",20289
"369","Arkansas",2019,"Mar",22246
"370","Arkansas",2019,"Apr",15812
"371","Arkansas",2019,"May",15317
"372","Arkansas",2019,"Jun",13956
"373","Arkansas",2019,"Jul",13684
"374","Arkansas",2019,"Aug",18303
"375","Arkansas",2019,"Sep",16285
"376","Arkansas",2019,"Oct",19303
"377","Arkansas",2019,"Nov",23192
"378","Arkansas",2019,"Dec",25699
"379","California",2019,"Jan",98502
"380","California",2019,"Feb",96970
"381","California",2019,"Mar",123056
"382","California",2019,"Apr",114466
"383","California",2019,"May",111816
"384","California",2019,"Jun",115987
"385","California",2019,"Jul",89532
"386","California",2019,"Aug",99146
"387","California",2019,"Sep",95540
"388","California",2019,"Oct",96252
"389","California",2019,"Nov",92765
"390","California",2019,"Dec",106600
"391","Colorado",2019,"Jan",38491
"392","Colorado",2019,"Feb",40467
"393","Colorado",2019,"Mar",46915
"394","Colorado",2019,"Apr",39433
"395","Colorado",2019,"May",36814
"396","Colorado",2019,"Jun",34773
"397","Colorado",2019,"Jul",33812
"398","Colorado",2019,"Aug",38755
"399","Colorado",2019,"Sep",35333
"400","Colorado",2019,"Oct",37564
"401","Colorado",2019,"Nov",39682
"402","Colorado",2019,"Dec",47496
"403","Connecticut",2019,"Jan",16324
"404","Connecticut",2019,"Feb",15040
"405","Connecticut",2019,"Mar",18362
"406","Connecticut",2019,"Apr",15726
"407","Connecticut",2019,"May",14737
"408","Connecticut",2019,"Jun",14041
"409","Connecticut",2019,"Jul",13362
"410","Connecticut",2019,"Aug",13326
"411","Connecticut",2019,"Sep",12365
"412","Connecticut",2019,"Oct",12574
"413","Connecticut",2019,"Nov",13789
"414","Connecticut",2019,"Dec",13289
"415","Delaware",2019,"Jan",4119
"416","Delaware",2019,"Feb",3682
"417","Delaware",2019,"Mar",4985
"418","Delaware",2019,"Apr",3807
"419","Delaware",2019,"May",3694
"420","Delaware",2019,"Jun",3204
"421","Delaware",2019,"Jul",2873
"422","Delaware",2019,"Aug",3547
"423","Delaware",2019,"Sep",3356
"424","Delaware",2019,"Oct",3982
"425","Delaware",2019,"Nov",4258
"426","Delaware",2019,"Dec",4920
"427","District of Columbia",2019,"Jan",360
"428","District of Columbia",2019,"Feb",364
"429","District of Columbia",2019,"Mar",417
"430","District of Columbia",2019,"Apr",409
"431","District of Columbia",2019,"May",417
"432","District of Columbia",2019,"Jun",305
"433","District of Columbia",2019,"Jul",375
"434","District of Columbia",2019,"Aug",386
"435","District of Columbia",2019,"Sep",610
"436","District of Columbia",2019,"Oct",933
"437","District of Columbia",2019,"Nov",595
"438","District of Columbia",2019,"Dec",755
"439","Florida",2019,"Jan",97486
"440","Florida",2019,"Feb",101991
"441","Florida",2019,"Mar",114001
"442","Florida",2019,"Apr",93693
"443","Florida",2019,"May",88204
"444","Florida",2019,"Jun",85730
"445","Florida",2019,"Jul",84024
"446","Florida",2019,"Aug",107318
"447","Florida",2019,"Sep",89815
"448","Florida",2019,"Oct",97214
"449","Florida",2019,"Nov",107274
"450","Florida",2019,"Dec",128789
"451","Georgia",2019,"Jan",44839
"452","Georgia",2019,"Feb",48900
"453","Georgia",2019,"Mar",56804
"454","Georgia",2019,"Apr",40952
"455","Georgia",2019,"May",37444
"456","Georgia",2019,"Jun",34910
"457","Georgia",2019,"Jul",34787
"458","Georgia",2019,"Aug",45508
"459","Georgia",2019,"Sep",39794
